36,"tensor(0.0457, device='cuda:0')","tensor(0.0631, device='cuda:0')","tensor(0.0487, device='cuda:0')","tensor(0.0676, device='cuda:0')","tensor(7.2462, device='cuda:0')","tensor(4.1463, device='cuda:0')","tensor(17.8071, device='cuda:0')","tensor(0., device='cuda:0')"
37,"tensor(0.0481, device='cuda:0')","tensor(0.0591, device='cuda:0')","tensor(0.0520, device='cuda:0')","tensor(0.0632, device='cuda:0')","tensor(7.9539, device='cuda:0')","tensor(4.2020, device='cuda:0')","tensor(18.7432, device='cuda:0')","tensor(0., device='cuda:0')"
38,"tensor(0.0454, device='cuda:0')","tensor(0.0546, device='cuda:0')","tensor(0.0495, device='cuda:0')","tensor(0.0585, device='cuda:0')","tensor(7.3352, device='cuda:0')","tensor(4.0574, device='cuda:0')","tensor(18.1087, device='cuda:0')","tensor(0., device='cuda:0')"
39,"tensor(0.0418, device='cuda:0')","tensor(0.0563, device='cuda:0')","tensor(0.0439, device='cuda:0')","tensor(0.0585, device='cuda:0')","tensor(6.4638, device='cuda:0')","tensor(3.8036, device='cuda:0')","tensor(16.6859, device='cuda:0')","tensor(0., device='cuda:0')"
40,"tensor(0.0437, device='cuda:0')","tensor(0.0571, device='cuda:0')","tensor(0.0483, device='cuda:0')","tensor(0.0596, device='cuda:0')","tensor(7.5227, device='cuda:0')","tensor(3.8561, device='cuda:0')","tensor(17.5448, device='cuda:0')","tensor(0., device='cuda:0')"
41,"tensor(0.0401, device='cuda:0')","tensor(0.0619, device='cuda:0')","tensor(0.0440, device='cuda:0')","tensor(0.0584, device='cuda:0')","tensor(6.0994, device='cuda:0')","tensor(3.5695, device='cuda:0')","tensor(15.8602, device='cuda:0')","tensor(0., device='cuda:0')"
42,"tensor(0.0443, device='cuda:0')","tensor(0.0583, device='cuda:0')","tensor(0.0439, device='cuda:0')","tensor(0.0612, device='cuda:0')","tensor(6.4336, device='cuda:0')","tensor(3.6815, device='cuda:0')","tensor(16.6598, device='cuda:0')","tensor(0., device='cuda:0')"
43,"tensor(0.0390, device='cuda:0')","tensor(0.0539, device='cuda:0')","tensor(0.0400, device='cuda:0')","tensor(0.0561, device='cuda:0')","tensor(5.9983, device='cuda:0')","tensor(3.5185, device='cuda:0')","tensor(15.5917, device='cuda:0')","tensor(0., device='cuda:0')"
44,"tensor(0.0438, device='cuda:0')","tensor(0.0528, device='cuda:0')","tensor(0.0455, device='cuda:0')","tensor(0.0510, device='cuda:0')","tensor(6.7597, device='cuda:0')","tensor(3.9570, device='cuda:0')","tensor(17.4225, device='cuda:0')","tensor(0., device='cuda:0')"
45,"tensor(0.0403, device='cuda:0')","tensor(0.0589, device='cuda:0')","tensor(0.0428, device='cuda:0')","tensor(0.0590, device='cuda:0')","tensor(6.2890, device='cuda:0')","tensor(3.5940, device='cuda:0')","tensor(16.4622, device='cuda:0')","tensor(0., device='cuda:0')"
46,"tensor(0.0467, device='cuda:0')","tensor(0.0527, device='cuda:0')","tensor(0.0493, device='cuda:0')","tensor(0.0520, device='cuda:0')","tensor(7.2638, device='cuda:0')","tensor(4.2135, device='cuda:0')","tensor(18.4868, device='cuda:0')","tensor(0., device='cuda:0')"
47,"tensor(0.0388, device='cuda:0')","tensor(0.0600, device='cuda:0')","tensor(0.0410, device='cuda:0')","tensor(0.0598, device='cuda:0')","tensor(6.0035, device='cuda:0')","tensor(3.4458, device='cuda:0')","tensor(15.6006, device='cuda:0')","tensor(0., device='cuda:0')"
48,"tensor(0.0391, device='cuda:0')","tensor(0.0597, device='cuda:0')","tensor(0.0415, device='cuda:0')","tensor(0.0618, device='cuda:0')","tensor(5.8395, device='cuda:0')","tensor(3.3432, device='cuda:0')","tensor(15.4883, device='cuda:0')","tensor(0., device='cuda:0')"
49,"tensor(0.0430, device='cuda:0')","tensor(0.0534, device='cuda:0')","tensor(0.0442, device='cuda:0')","tensor(0.0561, device='cuda:0')","tensor(6.1856, device='cuda:0')","tensor(3.6109, device='cuda:0')","tensor(16.2178, device='cuda:0')","tensor(0., device='cuda:0')"
50,"tensor(0.0415, device='cuda:0')","tensor(0.0505, device='cuda:0')","tensor(0.0419, device='cuda:0')","tensor(0.0528, device='cuda:0')","tensor(5.5595, device='cuda:0')","tensor(3.5534, device='cuda:0')","tensor(15.8097, device='cuda:0')","tensor(0., device='cuda:0')"
51,"tensor(0.0421, device='cuda:0')","tensor(0.0464, device='cuda:0')","tensor(0.0449, device='cuda:0')","tensor(0.0487, device='cuda:0')","tensor(6.4255, device='cuda:0')","tensor(3.5798, device='cuda:0')","tensor(16.4443, device='cuda:0')","tensor(0., device='cuda:0')"
52,"tensor(0.0440, device='cuda:0')","tensor(0.0594, device='cuda:0')","tensor(0.0450, device='cuda:0')","tensor(0.0562, device='cuda:0')","tensor(6.5297, device='cuda:0')","tensor(3.7747, device='cuda:0')","tensor(16.7196, device='cuda:0')","tensor(0., device='cuda:0')"
53,"tensor(0.0432, device='cuda:0')","tensor(0.0491, device='cuda:0')","tensor(0.0452, device='cuda:0')","tensor(0.0516, device='cuda:0')","tensor(6.3038, device='cuda:0')","tensor(3.7297, device='cuda:0')","tensor(16.7692, device='cuda:0')","tensor(0., device='cuda:0')"
