Sample_ID,Plant_ID,Treated pots,dayTreatment,Dpi,Replicate,sol.sugar nmol/mg,aa µmol/mg,flav µg/mg,phe µg/mg,Chla μg/mg,Chlb μg/mg,Caro μg/mg,pisatin µg/mg,Salicylic acid
35.0,6.0,MC,10MC,10,2.0,1.7551771403781493,1.5822069988935392,0.39576956079461256,-0.019087671183731114,-1.1882242252062207,-1.7349918706637943,-1.7874056133478344,-1.348138609750229,1.4476612955825083
35.5,6.0,MC,10MC,12,2.0,1.6779097974700847,1.5134014418143686,0.48189626158120324,0.06629652191013902,-1.1993698514211368,-1.7349918706637943,-1.7896502832016583,-1.4278201109903639,1.4189254867456929
36.0,6.0,MC,14MC,14,2.0,1.5941684971301817,1.4395095580797839,0.5611897852950443,0.1449603105997217,-1.2106411041207628,-1.7349918706637943,-1.791900002935674,-1.514404775790886,1.3893394386511924
37.0,7.0,PI,0PI,0,2.0,1.5941684971301817,1.608396071770469,0.3092633618909977,0.1806783932018008,-1.126151796563843,-1.7392562694502518,-1.7435389312422527,-1.3715314893249346,1.38088471473226
38.0,7.0,PI,2PI,2,2.0,1.7490593211016399,1.5032693063015414,0.8224003619543092,0.34604414384919924,-1.1759841703117186,-1.7740423855356675,-1.756498075884758,-0.9407485732324803,1.7602253680430153
39.0,7.0,PI,4PI,4,2.0,1.9875692527974471,1.80775432343829,1.1219673331214453,0.5936341730391228,-1.4709922828555726,-1.8100823220188644,-1.7223067111364787,-0.7456879906610958,1.9223310423756765
40.0,7.0,PI,6PI,6,2.0,2.083421635642044,1.7967359513658594,1.1798995044066891,0.8253643028694113,-1.3337911613420876,-1.7435389312422527,-1.6933191742632263,-0.3508274358017287,1.903601620279899
40.5,7.0,PI,6PI,8,2.0,2.05580067419976,1.7956149448338183,1.2879208368113972,0.7927772436603626,-1.4644776018343788,-1.7223067111364787,-1.6974091595147516,-0.34976190559969034,1.8300958401231786
41.0,7.0,PI,10PI,10,2.0,2.027395071397937,1.7944926802357002,1.385402794707049,0.7590923938418443,-1.6148475588217313,-1.7015159414674048,-1.7015159414674048,-0.34869750954390355,1.750755231755321
41.5,7.0,PI,10PI,12,2.0,1.9606730208502694,1.7566683715683609,1.4585443238325282,0.7419040553781269,-1.6073287264077036,-1.7652317558535127,-1.705639658651267,-0.3816823868497763,1.7114093804284765
42.0,7.0,PI,14PI,14,2.0,1.8891788350587766,1.7173569513534725,1.5266988551837515,0.7244151033572925,-1.5998660052061142,-1.8332852190985283,-1.7097804513172983,-0.4157924871227765,1.6704518018798118
43.0,8.0,MI,0MI,0,2.0,1.6708754409456694,1.7871042551659095,-0.9720011167365847,-0.22103436528781328,-1.0742799658570028,-1.7435389312422527,-1.7265172436728222,-1.1495720707719415,1.3375044191020349
44.0,8.0,MI,2MI,2,2.0,1.4864338918376787,1.9738987830695307,0.66096729310771,0.34018527222958417,-1.2649882414180589,-1.6811486386429713,-1.7478400131416434,-0.6167160270869065,1.880630313176733
45.0,8.0,MI,4MI,4,2.0,1.806768858958439,2.057000895184474,1.0293179953708673,0.6210331472272372,-1.353935727434555,-1.7696273673265506,-1.7307455797823432,-0.556009595641433,2.0257133180213978
46.0,8.0,MI,6MI,6,2.0,1.9249626228417331,2.014362006252601,1.069785944923714,0.5944630168495237,-1.3568469376420134,-1.7181138328764427,-1.7307455797823432,-0.5865767595118663,2.026801834283446
46.5,8.0,MI,6MI,8,2.0,1.87655838944768,1.9189216357186738,0.9903546907585357,0.6738682133450231,-1.4891296308326911,-1.739256269450252,-1.7097804513172983,-0.6732201512167548,2.0141617058012558
47.0,8.0,MI,10MI,10,2.0,1.8256914769142134,1.8134019750365487,0.9040654589514641,0.7474294236819037,-1.641617799886336,-1.7608553812537138,-1.6892458488755904,-0.7680889273502625,2.0013597568574855
47.5,8.0,MI,10MI,12,2.0,1.7872927743482943,1.793181777710196,0.8893683174876683,0.7099420101982155,-1.6017264708590337,-1.739256269450252,-1.6912804375733779,-0.7770284423890712,1.9744200236338467
48.0,8.0,MI,14MI,14,2.0,1.7473605294484051,1.7725442714229689,0.8744519439670047,0.6709943728768373,-1.5633656029865877,-1.7181138328764427,-1.6933191742632263,-0.7860485937484549,1.9467344007577938
49.0,9.0,PC,0PC,0,3.0,1.398465118891722,1.4663697702529803,-0.5404248646247347,0.339116325040679,-0.8612977566682629,-1.7521596742861596,-1.6933191742632263,-1.4775496834017317,0.9191487011627926
50.0,9.0,PC,2PC,2,3.0,1.2911251395169132,1.7360490843656255,0.3560838582973824,0.24791533798648713,-1.1215328507075484,-1.6771244883432457,-1.713938461465962,-1.0853298020435878,0.8381074911596671
51.0,9.0,PC,4PC,4,3.0,1.640050837209413,1.462029862390962,0.7108642642523328,0.14040449406386069,-1.2284306456842613,-1.7223067111364787,-1.7829313329529133,-1.4580050873287613,1.1089274140648295
52.0,9.0,PC,6PC,6,3.0,1.653644683563431,1.376346129029252,0.3031843158146157,0.23731453199984687,-0.9819712890564345,-1.6974091595147516,-1.7696273673265506,-1.4388351712210412,1.100471755627158
52.5,9.0,PC,6PC,8,3.0,1.6138665039370905,1.4102603164603305,0.2502558890842401,0.19158362668406337,-1.0920187901943843,-1.6953620758930268,-1.7807016776256441,-1.4941338114172669,1.1703965936307732
53.0,9.0,PC,10PC,10,3.0,1.5724402365038253,1.4430619596841514,0.19436871281048385,0.14366076525763605,-1.2156916199068313,-1.6933191742632263,-1.791900002935674,-1.5526703138698397,1.2357498735866224
53.5,9.0,PC,10PC,12,3.0,1.4581951008501073,1.2711119637411685,-0.025612353705150248,0.186301650756163,-1.2169582445220244,-1.7097804513172983,-1.7896502832016583,-1.6691244456761694,1.1505217699697652
54.0,9.0,PC,14PC,14,3.0,1.3291941219684067,1.0633268086577212,-0.30804574227744297,0.22719840883669384,-1.2182264755100194,-1.7265172436728222,-1.7874056133478344,-1.8009498384555918,1.0573473289934032
55.0,10.0,MC,0MC,0,3.0,1.6987207594099618,1.5791167615764903,0.11797611329464441,-0.0167949686127562,-1.0698939939137486,-1.7521596742861596,-1.713938461465962,-1.581449278419883,1.3060798379681846
56.0,10.0,MC,2MC,2,3.0,2.0267029272065638,1.6349417099728254,-0.06688368546055479,0.11061083058508414,-1.1331204658799363,-1.7265172436728222,-1.7265172436728222,-1.1614911630091518,1.5470385394208743
57.0,10.0,MC,4MC,4,3.0,2.0934644948320815,1.4073245345352383,0.186301650756163,0.32944403039817116,-1.2596831891883657,-1.7435389312422527,-1.7696273673265506,-1.4580050873287613,1.5909621427533227
58.0,10.0,MC,6MC,6,3.0,1.8377122972249205,1.6423777725234765,0.5853077302625693,0.16996962944768867,-1.1931625068468033,-1.7349918706637943,-1.7652317558535127,-1.348138609750229,1.4644625308365202
58.5,10.0,MC,6MC,8,3.0,1.7872299385695816,1.5808175737375572,0.5052650225890325,0.25113218532842696,-1.2322842150002513,-1.732866471351481,-1.7718324398848644,-1.3196466539559228,1.4118164520665863
59.0,10.0,MC,10MC,10,3.0,1.734062986393996,1.5152176728097948,0.4182536455994028,0.3261990302548443,-1.2729989651641378,-1.7307455797823432,-1.7784769826035332,-1.291944051406587,1.3562439875882681
59.5,10.0,MC,10MC,12,3.0,1.6835018713184815,1.4379068509430186,0.48189626158120324,0.3704387961697204,-1.287854066155062,-1.7286291768759656,-1.7718324398848644,-1.3671034378092024,1.3269065880254405
60.0,10.0,MC,14MC,14,3.0,1.6302475543676853,1.3541144736676554,0.5417297117403321,0.4128040408318383,-1.3029331729821823,-1.7265172436728222,-1.7652317558535127,-1.4483741942678001,1.2966824245817796
61.0,11.0,PI,0PI,0,3.0,1.6765068791704008,1.680569932045397,-0.06367855451160631,0.13123011778781946,-1.0503917506823073,-1.7478400131416434,-1.756498075884758,-1.2623321973599426,1.3639496701012614
62.0,11.0,PI,2PI,2,3.0,1.7278142124879037,1.3953084920017247,0.768882681831017,0.4772494130708278,-1.1882242252062207,-1.7874056133478344,-1.756498075884758,-0.9030082452496331,1.7660187540568404
63.0,11.0,PI,4PI,4,3.0,2.0593970241882906,1.6103478778101068,1.088158495393801,0.7765083686976539,-1.2106411041207628,-1.8055056549914525,-1.7097804513172983,-0.7145328228813004,1.9125113573577548
64.0,11.0,PI,6PI,6,3.0,2.1203031664421537,1.6860081382945409,1.2208045404615993,0.8782019483615451,-1.5316169046720074,-1.7349918706637943,-1.6933191742632263,-0.34551110217449565,1.9037134833596068
64.5,11.0,PI,6PI,8,3.0,2.06735873581188,1.7213919265656519,1.3155911916713197,0.8400536481151528,-1.3834363918312529,-1.7244097613332574,-1.6974091595147516,-0.3481657360668682,1.8314795070607341
65.0,11.0,PI,10PI,10,3.0,2.011453715580131,1.7555663716513092,1.4021660853662934,0.8003921378899239,-1.254406132087522,-1.713938461465962,-1.7015159414674048,-0.3508274358017287,1.7536186985042872
65.5,11.0,PI,10PI,12,3.0,1.9796693795199904,1.6925918967861446,1.4545208774882226,0.7821897130660029,-1.3879375247120445,-1.7696273673265506,-1.7015159414674048,-0.37237999418746304,1.7143875875844459
66.0,11.0,PI,14PI,14,3.0,1.9468415417018075,1.6253835164781063,1.5042704744145348,0.7636498075143585,-1.5420882045393027,-1.8286013697861019,-1.7015159414674048,-0.3944073165057538,1.6735543286950798
67.0,12.0,MI,0MI,0,3.0,1.6650701149070444,1.543035652000897,-0.6015328506655164,0.3153056763469606,-0.9504104841442171,-1.756498075884758,-1.6974091595147516,-1.054692832581698,1.2921565991235755
68.0,12.0,MI,2MI,2,3.0,1.4373720439064726,2.005308529264371,0.4892865954484762,0.5465217052274127,-1.1759841703117186,-1.6933191742632263,-1.7652317558535127,-0.5705121570080598,1.8167021063699766
69.0,12.0,MI,4MI,4,3.0,1.7662754605144175,2.0233342526645477,0.8722579296093831,0.6555261603676286,-1.3834363918312529,-1.7652317558535127,-1.7307455797823432,-0.5137227060177381,1.9754616903947038
70.0,12.0,MI,6MI,6,3.0,2.0094430584234098,1.9262758206666937,1.0223211961056595,0.612525905318027,-1.314044398407253,-1.7349918706637943,-1.7265172436728222,-0.5340022349682672,1.985922145157208
70.5,12.0,MI,6MI,8,3.0,1.9564375210834144,1.80275539304191,0.9049768975684112,0.6988081041269516,-1.4246951084472286,-1.7478400131416434,-1.707707911715326,-0.6363795819956846,1.975097230442214
71.0,12.0,MI,10MI,10,3.0,1.9004643628047666,1.6617986519224686,0.7720093128304488,0.7782333993134509,-1.5491304871647156,-1.7608553812537138,-1.6892458488755904,-0.7504461281075128,1.9641538534349992
71.5,12.0,MI,10MI,12,3.0,1.7871670988422852,1.6156584853021614,0.7350891079120223,0.7399360790743099,-1.509298381716312,-1.739256269450252,-1.7015159414674048,-0.7616372920687737,1.9263851760170128
72.0,12.0,MI,14MI,14,3.0,1.6593737167066576,1.5672859884667738,0.696753372853935,0.7001134656176706,-1.4709922828555726,-1.7181138328764427,-1.713938461465962,-0.7729551170014353,1.8871338445710486
73.0,13.0,PC,0PC,0,4.0,1.1358041845414646,1.4595912616353623,-0.2848241031631433,0.3213117004071724,-1.0063132617253634,-1.7349918706637943,-1.7478400131416434,-1.4775496834017317,1.1420527028291927
74.0,13.0,PC,2PC,2,4.0,1.0048868128042066,1.7258116752724049,0.28189499635595183,0.32836353326441703,-0.9465345102995242,-1.6455012999127334,-1.7392562694502518,-1.1956408228612703,1.1283026369619513
75.0,13.0,PC,4PC,4,4.0,1.4398653666585237,1.5010966640163006,0.5581874240433753,-0.06527983587858044,-1.116935141458919,-1.6933191742632263,-1.8100823220188644,-1.4941338114172669,1.3934469873688755
76.0,13.0,PC,6PC,6,4.0,1.3604894590363656,1.3394729236747072,0.2115259964290619,-0.06447887468237568,-1.2361526917781716,-1.7223067111364787,-1.8239393566802904,-1.581449278419883,1.357210451372783
76.5,13.0,PC,6PC,8,4.0,1.5194153825828915,1.3635657929372385,0.15304442899968063,-0.09002252985120851,-1.1711297918469206,-1.7202080744795576,-1.8216164752641508,-1.536838848653159,1.3301870721046023
77.0,13.0,PC,10PC,10,4.0,1.6565133028570282,1.3870918257926488,0.0909291637148324,-0.11623580525028254,-1.110077971732782,-1.7181138328764427,-1.8192989771237884,-1.4941338114172669,1.3024130992907645
77.5,13.0,PC,10PC,12,4.0,1.5926429438213447,1.2130241299781899,0.12727232898040253,-0.030630700465406058,-1.1180825885153958,-1.7181138328764427,-1.8146800312674938,-1.7244097613332574,1.2326910990802973
78.0,13.0,PC,14PC,14,4.0,1.524413139902895,1.0021350224051169,0.1623408575480676,0.04822053798580228,-1.126151796563843,-1.7181138328764427,-1.8100823220188644,-2.0240933897698015,1.1577411634180503
79.0,14.0,MC,0MC,0,4.0,1.6593737167066576,1.1668972316088637,0.05534815191003428,0.21455905911217465,-0.9543015396371837,-1.7740423855356675,-1.7223067111364787,-1.5924585639282522,1.3285978782858314
80.0,14.0,MC,2MC,2,4.0,1.9653114436721313,1.6625107505069994,0.1449603105997217,0.2981829161144258,-1.1495720707719415,-1.7478400131416434,-1.7349918706637943,-1.2623321973599426,1.5963003694162112
81.0,14.0,MC,4MC,4,4.0,2.122732208165472,1.4001322490361123,0.0819790179107569,0.29315637662849126,-1.3568469376420134,-1.7608553812537138,-1.7829313329529133,-1.4231362616779375,1.6446993057773978
82.0,14.0,MC,6MC,6,4.0,1.7884859045724126,1.54927317722229,0.49616577873391865,0.40482394860786197,-1.2837807407674262,-1.7478400131416434,-1.791900002935674,-1.4138338690156238,1.5433564733061833
82.5,14.0,MC,6MC,8,4.0,1.7922443655239362,1.5598989214762127,0.5102345381246405,0.2920359283320013,-1.2258698248225874,-1.7456871597805423,-1.791900002935674,-1.4092149231593294,1.4947186632079066
83.0,14.0,MC,10MC,10,4.0,1.7959887533236238,1.57041294536115,0.5241081103905123,0.16489025344766794,-1.1711297918469206,-1.7435389312422527,-1.791900002935674,-1.4046172139106998,1.4435937331611872
83.5,14.0,MC,10MC,12,4.0,1.740733860839764,1.5071016862316156,0.5720513551783881,0.2557928404295815,-1.241334050520169,-1.7413953076990012,-1.791900002935674,-1.4991631598222688,1.4249918732251508
84.0,14.0,MC,14MC,14,4.0,1.6822463783726493,1.4395095580797839,0.6178008211806567,0.339116325040679,-1.3168416030283143,-1.7392562694502518,-1.791900002935674,-1.6035904042970968,1.4060374147473564
85.0,15.0,PI,0PI,0,4.0,1.7680705629326074,1.669745337703485,-0.08143527610086565,0.08680827876232966,-1.0942584327878893,-1.7265172436728222,-1.7349918706637943,-1.3056994264750723,1.3375044191020349
86.0,15.0,PI,2PI,2,4.0,1.8002155124756478,1.4439480917758094,0.9806887193041076,0.45654279089474636,-1.1331204658799363,-1.7608553812537138,-1.7435389312422527,-1.0022148953330812,1.7065167368006082
87.0,15.0,PI,4PI,4,4.0,2.104506197002618,1.858407176392023,1.2751048239372325,0.7178457366657516,-1.3954847303474274,-1.7874056133478344,-1.7181138328764427,-0.7860485937484549,1.8154811049972817
88.0,15.0,PI,6PI,6,4.0,2.105786489815818,1.7327367262526425,1.1798995044066891,0.8503696648097687,-1.2974235171712125,-1.705639658651267,-1.685189048179976,-0.38113278529705763,1.8755809565683674
88.5,15.0,PI,6PI,8,4.0,2.086314643119174,1.7615801632568524,1.2832510830860073,0.8489253895045534,-1.4293862820231087,-1.7015159414674048,-1.6892458488755904,-0.3783892993513067,1.7871042551659095
89.0,15.0,PI,10PI,10,4.0,2.0664561014837477,1.7896149268337207,1.3769145800156628,0.8474790252508004,-1.581449278419883,-1.6974091595147516,-1.6933191742632263,-0.37565331953243186,1.690032847078919
89.5,15.0,PI,10PI,12,4.0,1.9733772706717914,1.7263460774227322,1.506685833936356,0.8156161876758223,-1.504217930483893,-1.7456871597805423,-1.6994604422853088,-0.4095548712081132,1.6515597768087056
