,0MC_1,0MC_2,0MC_3,2MC_1,2MC_2,2MC_3,4MC_1,4MC_2,4MC_3,6MC_1,6MC_2,6MC_3,10MC_1,10MC_2,10MC_3,14MC_1,14MC_2,14MC_3,0MI_1,0MI_2,0MI_3,2MI_1,2MI_2,2MI_3,4MI_1,4MI_2,4MI_3,6MI_1,6MI_2,6MI_3,10MI_1,10MI_2,10MI_3,14MI_1,14MI_2,14MI_3,0PC_1,0PC_2,0PC_3,2PC_1,2PC_2,2PC_3,4PC_1,4PC_2,4PC_3,6PC_1,6PC_2,6PC_3,10PC_1,10PC_2,10PC_3,14PC_1,14PC_2,14PC_3,0PI_1,0PI_2,0PI_3,2PI_1,2PI_2,2PI_3,4PI_3,4PI_2,4PI_3,6PI_1,6PI_2,6PI_3,10PI_1,10PI_2,10PI_3,14PI_1,14PI_2,14PI_3
unknown_305.2449_67.89861,98752.38,89772.96,199747.80,7293556632.00,67104.20,51619.62,87568.65,177170.70,122069.20,256018.80,158222.20,1352781367.00,128502.60,55925.71,105730.30,68495.99,118525.00,214428.00,423206.80,734452.70,934226.80,399284.60,460700.90,571821.00,442980.10,342912.60,317118.70,306894.90,331537.50,301662.00,668072.60,382739.50,320136.80,395934.60,473217.60,573652.40,1738848485.00,246762.80,156736.60,91046.72,261004.20,123992.80,96923.65,252723.60,220058405.00,111371.30,264508.20,28135.64,51723.30,66080.19,164082.50,103700.90,44088.28,107297.40,597304.90,73296.20,476220.30,530910.90,129561.50,492004.90,682039.80,143298.10,349913.80,593144.80,271305.50,414548.20,324845.50,414525.80,541098.60,411541.50,513439.00,496069.00
Phenylacetic acid_[M+H]+_137.0592_33.26504,98310.66,117435.50,22933.12,139641.80,116296.20,50719.68,156243.70,154283.10,126364.40,67062.09,50479.21,1884801171.00,78385.09,84529.32,48025.06,85530.13,142392.70,8400168434.00,970211.40,867899.10,783807.00,1186580.00,572763.10,423859.50,309102.10,478809.20,339088.70,540803.50,363119.00,393865.70,1042015.00,275068.10,403078.50,763736.40,200293.70,287402.30,91526.50,25487.82,33935.32,679401.80,1102209689.00,86427.14,38983.97,150097.00,30633.68,199446.40,202367.40,98019.72,53908.67,1883399881.00,24171.06,67234.13,131573.80,23177.20,657717.10,82551.52,615714.90,505850.70,133940.10,539562.60,297775.80,58076.19,502563.50,247956.50,311203.90,395051.40,538144.80,253658.70,315058.90,583196.20,269686.30,314105.20
unknown_431.1724_45.50681,127452.70,497576.30,401431.10,656101.20,1723306633.00,555282.90,122791.40,190691.40,657723.70,497174.40,694692.60,67605.14,442142.00,546136.10,463599.30,1093781757.00,661628.70,605252.10,1267082.00,1786032.00,1205096.00,1219483.00,1029914.00,680401.10,1140411.00,769366.00,550970.40,1227024.00,1393321.00,852449.20,1218246.00,1318757.00,928229.20,1076688.00,777468.20,449441.30,1143368423.00,430500.50,1016652716.00,100814.50,1428066.00,379323.70,160026.30,1649699771.00,426880.40,683201.20,343875.20,216737.80,131493.50,593054.20,363700.80,167736.30,564901.10,347766.70,1561545.00,236845.00,1111999.00,1223765.00,178773.90,1138960.00,1138705.00,619985.40,452345.30,1031872.00,1717878.00,896025.70,1254065.00,838170.60,550285.90,1180015.00,892413.50,535610.60
unknown_138.0522_7.755856,4387780.00,11500000.00,6996932.00,4555828.00,7835185964.00,3894554.00,5433174.00,3820294.00,3421752.00,6513794.00,5370162.00,5366338.00,4140986.00,6614670.00,1590335.00,5332971.00,6861314.00,3325641.00,1933038.00,1987974.00,1906410.00,2031516.00,837910.80,977850.00,1685078.00,848822.10,1045166.00,1406118.00,998531.90,674456.30,1269358.00,767660.20,471172.00,904435.80,532205.00,336977.50,3729113.00,8219666.00,4508740.00,2079634.00,10000000.00,7523598.00,3365357.00,5831106.00,2288670.00,2670432.00,5969116.00,7678360704.00,3246383.00,8011146.00,1432000754.00,5133902.00,9084663.00,1500184.00,1013990985.00,6229082.00,1599310.00,1713692.00,6175142.00,1666183.00,831562.20,2778407.00,610186.70,1358425.00,495135.20,793341.80,1355635.00,332501.70,491465.50,1106751.00,419198.50,433089.20
Gibberellin A5_[M+H]+_331.1527_28.15717,85790.14,188606.20,99779.66,120937.50,184250.30,1310988362.00,59694.06,191478.70,124642.10,4323344439.00,222870.70,23375.99,76265.93,229172.40,97378.09,94493.15,120665.70,207836.60,363761.30,467815.20,421562.70,425371.10,388345.20,394291.80,292873.40,367266.10,318080.50,235791.00,158912.90,191403.50,352507.00,154696.30,284411.00,374028.10,314321.00,258365.70,21379.36,44209.64,309101.80,24796.36,142054.90,43912.98,55169.74,26229.95,1453714191.00,82627.51,28334.54,109855.20,210083.40,32836.22,1761937925.00,203418.20,73494.84,257528.20,343184.80,187147.60,316312.10,254073.90,59400.95,329435.70,350169.10,37049.45,268018.70,359808.20,170233.20,185832.50,257287.70,428550.00,470977.10,201126.00,310118.60,199836.50
Dihydrochrysin_[M+H]+_257.0785_19.37716,1746776.00,46211.00,2075486.00,1255533573.00,557531.50,451198.10,1544897.00,255227.60,349129.90,2152622.00,234505.90,346119.20,910053578.00,1553541953.00,142324.20,226414.60,1026140.00,155306.70,2056752.00,2462950.00,1937615.00,2502521.00,1984928.00,2046999.00,1776822.00,2486141.00,2059456.00,1825015.00,1822400.00,1065971.00,1310116.00,1452112.00,1492048.00,1368226.00,985094.00,850433.30,6208335813.00,391011.80,590785.90,38826.90,635501.20,754698.50,212772.00,1452629.00,3345759.00,272855.60,1113572.00,1034958131.00,581349.70,578620.80,23155.47,548287.00,397579.20,371544.50,2060545.00,599584.90,1632556.00,1949657.00,685490.70,1885715.00,1751717.00,4805714.00,1947211.00,1623959.00,1663401.00,1850682.00,1772030.00,880056.20,960388.10,1643570.00,969363.50,797704.30
"(3R)-3,4-Dihydro-3-(6-hydroxy-1,3-benzodioxol-5-yl)-2H-1-benzopyran-4,7-diol_[M+H]+_303.0855_3.343825",449137.20,596248.70,635975.70,285539.50,511761.80,249243.80,224046.10,143086.00,113976.50,2004316402.00,249498.20,506026.00,67641.95,388346.30,2031634877.00,373644.40,392178.00,1422394.00,93613.02,179111.60,41290.78,142949.10,140563.00,159711.80,61611.77,191685.60,106925.00,139991.10,167814.10,171154.40,119660.30,100589.60,56213.99,56180.55,58883.76,26947.05,2215720654.00,587905.60,443161.90,205618.50,507297.60,354491.80,214291.80,238645.40,124240.40,323191.70,115649.50,577028.70,46566.27,292756627.00,1392964.00,253554.50,276575.90,23019.97,35344.25,611501.40,89551.35,156123.70,466374.80,95876.91,275411.80,132086.50,42129.06,169517.20,142963.20,76426.30,71194.40,23674.29,49169.30,90738.95,89999.07,27913.68
unknown_315.1946_53.08273,284098842.00,5022478.00,4478146.00,108847.00,660583.10,4293708.00,583009.20,137503.60,4840815.00,4775618.00,5425215.00,3666783986.00,5034948.00,6282806.00,4561752.00,570437.30,5097652.00,4718498.00,1148758.00,1092327.00,1326346.00,1619988.00,1451179.00,1744999.00,1395549.00,2078891.00,1834261.00,1290375.00,1205370.00,1069061.00,951699.70,1224976.00,959756.20,1147750.00,443255.40,324665.30,250702.20,5677328.00,4728490.00,1249455956.00,5539614.00,4244824.00,28361.99,5651220.00,1709403084.00,24938.62,5392196.00,461750.10,529296.90,5051198.00,3149191.00,5048464.00,5419673.00,3679796.00,1165804.00,9724717915.00,928999.60,1086767.00,626047.30,1420882.00,1124328.00,5493228.00,2996307.00,1133048.00,1155626.00,973505.60,1586190.00,379589.50,330690.00,1314056.00,325799.70,373288.30
unknown_475.3536_74.68351,26812.48,85333.20,42576.49,69430.31,25244.60,24806.53,55290.46,70397.45,163469.50,225003.30,33286.16,7253548565.00,58619.62,27510.18,40473.36,59959.10,373056.90,677697.20,6567910.00,2877755.00,2728191.00,9481835.00,678900.00,654857.50,14300000.00,725046.80,514397.30,18400000.00,4870290.00,5868614.00,10300000.00,5536246.00,7583120.00,11200000.00,3108736.00,3031147.00,32311.12,73979.45,54410.02,3092218863.00,72830.22,31224.12,25318.55,87187.35,49423.42,6350332518.00,50742.11,8229065121.00,63148.05,121758.80,550040.30,45263.11,78116.13,75216.81,8625344.00,132083452.00,9644235.00,7685034.00,34080.11,6541494.00,5102080.00,505280161.00,244518.00,7764882.00,2385245.00,2331531.00,5402698.00,4145305.00,4831040.00,3143637.00,5017248.00,4803497.00
Trigonelline_[M+H]+_138.0544_21.41126,262358.60,98482.20,295325.10,68653.91,121895.30,178554.90,441724.20,210318.60,5015234268.00,418550.20,203445.70,457417.10,199132.30,436003.00,77759.15,84485.96,455980.50,40570.55,106123.20,99764.49,106953.80,59072.36,119837.40,113078.70,106635.80,71235.72,180663.20,122010.60,163201.10,96476.95,195073.50,42505.32,96770.09,145778.90,85071.20,43388.00,418380.70,620119.60,76858.77,88757.91,685163.50,561707.60,177989.90,71570.74,105113.90,297329.80,168489.30,1520356457.00,378851.40,713824.30,22415.84,475313.30,95446.91,22521.33,1672317609.00,712314.80,143985.40,182230.20,1263392628.00,141893.30,164943.00,128796.40,46174.85,143072.90,88210.20,23203.40,103281.20,8944308589.00,113572.90,42827.66,111066.30,46211.38
