,0MC_1,0MC_2,0MC_3,2MC_1,2MC_2,2MC_3,4MC_1,4MC_2,4MC_3,6MC_1,6MC_2,6MC_3,10MC_1,10MC_2,10MC_3,14MC_1,14MC_2,14MC_3,0MI_1,0MI_2,0MI_3,2MI_1,2MI_2,2MI_3,4MI_1,4MI_2,4MI_3,6MI_1,6MI_2,6MI_3,10MI_1,10MI_2,10MI_3,14MI_1,14MI_2,14MI_3,0PC_1,0PC_2,0PC_3,2PC_1,2PC_2,2PC_3,4PC_1,4PC_2,4PC_3,6PC_1,6PC_2,6PC_3,10PC_1,10PC_2,10PC_3,14PC_1,14PC_2,14PC_3,0PI_1,0PI_2,0PI_3,2PI_1,2PI_2,2PI_3,4PI_3,4PI_2,4PI_3,6PI_1,6PI_2,6PI_3,10PI_1,10PI_2,10PI_3,14PI_1,14PI_2,14PI_3
Salicylic acid_[2M+H]+_277.0709_27.14374,158701299.00,871935808.00,27385.96,18826.09,1557708634.00,1955177484.00,2344914342.00,1388586521.00,1799739546.00,1692486603.00,1336804981.00,1245454488.00,3912739502.00,2047360946.00,5185713792.00,6337357238.00,1123538785.00,1991216652.00,1521366.00,571901.10,517809.20,827598.40,249314.20,233923.00,72354.95,379507.10,274512.00,111696.80,849723.80,686622.80,574867.20,268934.80,258346.30,432989.10,36363.62,67055.46,1651918821.00,8248664513.00,2002586084.00,5626720738.00,713209021.00,2821122059.00,227442351.00,1168027729.00,1983062477.00,25710.17,111955333.00,600928841.00,3514987184.00,38345.93,1755576377.00,2922978038.00,1824587993.00,1883502978.00,656690.60,8976006712.00,917024.40,644640.70,45916406.00,619939.10,291620.50,25846.43,329771.80,196253.10,455691.30,350063.10,1010670.00,38847.83,2072348775.00,1083121.00,230921.40,106232.80
Quercetin_[M+H]+_303.049_40.17505,448398.60,241647.40,1118665694.00,9460929731.00,656048.60,135364.30,391994.40,3751284.00,94070.85,654229.80,708066.20,475993.10,554701.10,672197.90,246456.80,828873.70,223573089.00,7387386932.00,367219.50,262831.90,2099229286.00,522472.40,186355.40,209546.50,333831.80,150409.30,6428674542.00,455518.20,6476445171.00,1701063705.00,791727.00,165291826.00,5821400399.00,506561.00,216698.40,168275.40,265343.50,1047916227.00,469683.00,29600000.00,229654.00,6714305583.00,4792376.00,206588.30,265198.00,5223596.00,198497.50,275744.50,405436.50,219077.40,249418.30,367398.50,1682649744.00,40569.03,195123.20,672783.70,108798824.00,1084040267.00,445185.40,344791.00,375553.20,325898.00,134212.40,239000.50,168739.20,4267138389.00,1740604996.00,1402641291.00,262076.00,1937060332.00,521721.80,891649386.00
unknown_811.1927_31.78148,168840844.00,5407192373.00,1073696692.00,2108127981.00,2098970723.00,6047108593.00,2861158478.00,3453609143.00,2206142979.00,9259915859.00,1977749646.00,3501159556.00,3101897774.00,1375062484.00,886592829.00,2992978818.00,24859.96,5138946406.00,2776988.00,3480674.00,3236566.00,2831204.00,3127953.00,2703933.00,3349431.00,3299434.00,2939296.00,2520883.00,2261901.00,2472809.00,3025328.00,2560625.00,2483333.00,2452888.00,2161637.00,2058822.00,218451861.00,1126253056.00,15309375.00,8224002412.00,1192443081.00,474745974.00,878510184.00,2017437186.00,1509140784.00,207422006.00,1850223389.00,2087496774.00,1398639406.00,1521410922.00,4350096437.00,1148946372.00,1765747859.00,1141173175.00,3142887.00,321834641.00,3093560.00,2773461.00,1618901244.00,3031569.00,3339683.00,9324011477.00,2672424.00,3299863.00,2452990.00,2947596.00,2594639.00,1274154.00,1276234.00,3042402.00,1674767.00,1775048.00
Quercetin-3-sophorotrioside_[M+H]+_789.2096_31.75448,617531859.00,9036447734.00,2024072637.00,1339035706.00,117545102.00,4663762141.00,1229448163.00,8531573131.00,6709892089.00,110148973.00,211134546.00,1257449209.00,1339845453.00,2456276562.00,1577421185.00,1533128954.00,7951278964.00,2549294343.00,37700000.00,31100000.00,27100000.00,36100000.00,24900000.00,23400000.00,31300000.00,25300000.00,23000000.00,33800000.00,30700000.00,25000000.00,43900000.00,25200000.00,21500000.00,36300000.00,13000000.00,13400000.00,1170740875.00,2037078879.00,146951731.00,105624793.00,7310683355.00,2127846865.00,2087849099.00,1774776783.00,1868445032.00,1970552042.00,5794034996.00,1785052994.00,15637917.00,1152066142.00,1670963564.00,1403876943.00,23104.07,3708517866.00,15800000.00,1669879098.00,25100000.00,21600000.00,1286738069.00,19000000.00,28700000.00,6270798903.00,15400000.00,26700000.00,21200000.00,23200000.00,33900000.00,10500000.00,10500000.00,28900000.00,15400000.00,12600000.00
unknown_341.0268_23.95502,211015.40,2157910538.00,184728.20,1053566345.00,1186502526.00,137495.00,118427.70,360493917.00,1198404533.00,211427.70,1228593497.00,227951.50,214157.90,235108.20,1249625587.00,2034659925.00,135524.60,6956059331.00,289807.60,337848.00,291985.80,206636.40,1033014206.00,5661632696.00,78774.49,54093291.00,3823500159.00,27535.70,1529614913.00,114833.40,1863063614.00,59593.89,41714.45,40613.55,70957.27,105541.00,9618198404.00,218808.20,2215711526.00,144317581.00,221278.80,191885.50,217367548.00,209361.80,144845.50,24342.59,1026553593.00,151485.40,135189.90,259586.80,105699.00,114159.40,241010.60,66873.46,136346.00,198453.10,38052.89,25450.51,234733.10,178983.90,37778.39,258717.40,497236.90,27135.95,178654.10,177772.80,27864.14,281812.50,242778.20,2666093036.00,257186.60,202209.50
Glutathione_[M+H]+_308.0922_3.634228,1520651899.00,2952547414.00,22919.06,1556999378.00,1926568681.00,126398981.00,26948.40,1696072633.00,1948118558.00,24916.23,1629569584.00,1554435457.00,2015874679.00,1282515901.00,169275766.00,1366655024.00,22325.80,5110558725.00,2087106.00,1382151.00,1245310.00,1160279.00,521355.10,437156.00,238213.00,640263.90,484642.10,204864.20,3802417.00,2460222.00,2019767.00,1769923.00,1000018.00,1196745.00,331079.00,2164974889.00,4634604843.00,4618338819.00,7537632402.00,6241201987.00,20610.11,1714388691.00,8074793552.00,21886.31,1468715159.00,866599373.00,5514139133.00,22449.11,1921086391.00,1167988685.00,1063933602.00,6507557271.00,1121451085.00,1598065921.00,1138085.00,1322356044.00,1614269.00,4028221.00,24318.58,1164424.00,1219843.00,1338088571.00,230586.40,517317.50,3812233.00,3133128.00,1369616.00,388581.80,331916.10,1553033.00,1757928.00,1382333.00
Formononetin_[M+H]+_269.0827_3.402403,545612.40,2107584785.00,1364412572.00,1565810794.00,1084728908.00,23761.73,1085570275.00,22728.82,453625.20,1554301098.00,1290341543.00,9540795446.00,258688.00,176680812.00,2227121084.00,2013469412.00,1053237112.00,26346.92,181583.20,126234.10,127522.00,123910.30,142880.10,137639.30,179860.50,302568.50,143819.80,144459.90,78980.62,106204.50,174071.70,100515.50,132485.50,123766.50,101155.90,35875.49,23789.95,757534639.00,9491525684.00,23449.90,1347239122.00,1680840962.00,21836.51,834519211.00,2201249561.00,24359.77,344107.40,1591572009.00,1188371407.00,2302526359.00,1304884179.00,3046988027.00,1242070208.00,96965.40,203817.90,9978084272.00,145900.30,151520.80,4479663643.00,160841.40,1210300096.00,8160268013.00,175886.60,269618.00,170474.70,78070.41,204182.10,96287.95,128474.90,116704.40,54422.54,34408.82
unknown_545.1586_3.8414,1465605563.00,35124.64,1381862394.00,1428540807.00,9605604.00,1432525465.00,1992199794.00,1948876806.00,23100000.00,2176230402.00,5784913589.00,187093011.00,20300000.00,5265698413.00,2153181373.00,4327559863.00,4780080845.00,1458668274.00,2429861.00,2934774.00,3208652.00,3305855.00,3446764.00,3281283.00,3119152.00,2947318.00,3635960.00,2804837.00,2565085.00,3085195.00,3022234.00,3279919.00,2663132.00,3891354.00,2257956.00,2268160.00,7235235916.00,1284451639.00,1096206662.00,1158574481.00,8097271178.00,39704.70,14412363.00,1861498581.00,2192016275.00,1144408742.00,23200000.00,1752661942.00,1987928569.00,2230251931.00,5829062457.00,1553881317.00,1411132868.00,16800000.00,2788642.00,2073064337.00,2795565.00,2739316.00,1887060376.00,3018928.00,2958974.00,1424814189.00,2810652.00,2453766.00,2333411.00,3173088.00,2971723.00,2702926.00,3750968.00,3075029.00,2803643.00,2910175.00
Dihydromaleimide beta-D-glucoside_[2M+H]+_523.1769_3.811584,3638000149.00,2139093834.00,1922770969.00,7517954377.00,8802527685.00,9329900985.00,1787458704.00,7847686077.00,44300000.00,733263558.00,9989929471.00,1636281817.00,63600000.00,1002323592.00,1197068715.00,1687822061.00,8900580215.00,1480154817.00,99400000.00,114000000.00,106000000.00,107000000.00,65100000.00,58900000.00,65200000.00,64300000.00,63700000.00,68700000.00,62400000.00,60800000.00,94700000.00,53600000.00,40900000.00,94900000.00,29600000.00,32200000.00,2480422895.00,1089380348.00,130543429.00,5496130195.00,3018486307.00,3106727185.00,1520138106.00,1686502039.00,5596500768.00,1517879875.00,1478210437.00,1395859081.00,5898817672.00,8030961707.00,1897674362.00,115369295.00,2192243973.00,2029251957.00,99000000.00,2122983573.00,115000000.00,104000000.00,9479818939.00,113000000.00,67600000.00,7223627499.00,50200000.00,68200000.00,71800000.00,54200000.00,96700000.00,47800000.00,54900000.00,85500000.00,49500000.00,41700000.00
Dihydrochrysin_[M]+_256.0719_25.72902,2662253021.00,12868745.00,1802065911.00,1539351379.00,150214656.00,4608148086.00,23592.78,1533701739.00,43020.50,1874359253.00,1445926774.00,8054726083.00,2101609533.00,1273785778.00,371438.50,7746652094.00,7464927969.00,6162036214.00,261675.10,262914.80,187321.50,197460.50,261851.90,285799.80,191775.70,238964.20,267343.20,149401.70,328072.20,190066.80,253001.90,234057.80,148893.00,174098.40,188222.10,142349.50,8394315649.00,5866444436.00,1862936607.00,6655945106.00,2044411898.00,7815085097.00,4651471637.00,20870.66,139730894.00,469536.30,27671.59,1846645055.00,24067.01,21520.35,6669920568.00,22489.47,13159.38,4889194091.00,71911.84,8398985408.00,169734.30,94244.31,1218733741.00,131826.70,209556.00,2200954979.00,247878.90,253005.20,246900.90,228963.60,172878.60,194374.70,137346.10,171593.10,220975.20,206440.40
unknown_319.094_7.254197,1114955506.00,150070.60,1290259253.00,27159.90,165836525.00,2120745365.00,375814.30,64244.96,1794463836.00,573251.70,1166051403.00,780040.30,22803.23,262578.80,2156400135.00,9365617543.00,5136739022.00,40492.74,24021.37,21374.83,46036.22,24842.54,36609.97,20621.97,42727.76,89956.23,63506.49,27327.32,23673.51,1565092.00,23657.77,42386.22,424200.40,1111455067.00,19812.41,316640.60,25989.91,120579.70,98545.28,96745.27,341149.40,3385837935.00,8860295373.00,1077324.00,22305.26,1265708174.00,7369655727.00,36685.18,23228.49,24461.59,70030.37,83738.83,146112.00,1948541951.00,22955.19,146168.80,1520237599.00,63372.94,123433.60,46011.44,154756.20,22455.56,22977.35,1740606814.00,21417.94,23161.19,36649.41,24974.13,11084874.00,2137171294.00,3477032716.00,24612.31
unknown_442.9762_4.323653,2147168936.00,1337406466.00,4092398192.00,7150184351.00,1163477502.00,1836122487.00,1642890637.00,6580784421.00,2212945655.00,1653475298.00,8329494264.00,1016177999.00,4948407215.00,1373692101.00,2586818013.00,3483812318.00,2094317081.00,6304969719.00,246138.70,299683.30,327076.20,263407.20,256355.00,269723.80,280465.30,271207.10,302341.60,295927.80,247950.20,266576.10,356270.50,284398.10,226792.60,208421.50,240616.80,290110.70,7380714091.00,1296684463.00,1476918403.00,1455260806.00,1433078088.00,11112789.00,1050065206.00,1391251399.00,1629246525.00,1070422517.00,1475445449.00,7835361306.00,5252694556.00,1398812125.00,2051830233.00,1213882211.00,5496343702.00,47392594.00,244678.90,1221525585.00,270328.10,262640.40,1181184998.00,155075.40,282422.60,3804291093.00,324741.70,317861.90,174484.00,369256.80,267763.40,381904.70,319232.70,272766.20,318702.90,291122.30
unknown_321.0734_46.59196,7615214997.00,5252569004.00,5367833319.00,1187666026.00,7779135673.00,2364964061.00,1148412869.00,1187140328.00,1497742446.00,2134708673.00,2096586727.00,8644434592.00,1079847364.00,111031288.00,1151017165.00,1832293495.00,1528451128.00,21031.40,5415728.00,5323204.00,6980116.00,5927654.00,4823940.00,5438506.00,5026476.00,5188448.00,5003454.00,5359506.00,8160902.00,6774092.00,4263652.00,8902981.00,5642448.00,3708872.00,11200000.00,9362673.00,7653682965.00,1965021956.00,1170188614.00,1994252736.00,1473829933.00,1809141888.00,3358010409.00,8816774811.00,1114522073.00,7170612708.00,2909322994.00,9071411777.00,1878507179.00,8800517756.00,1052657887.00,1808764369.00,1377519376.00,1871812741.00,3020317.00,2498503204.00,2781849.00,3236376.00,414128955.00,2873701.00,6455182.00,8303791567.00,9676219.00,5818330.00,7500148.00,10300000.00,6059450.00,10100000.00,9532879.00,5255454.00,9203320.00,10300000.00
unknown_190.1064_13.37786,1309379156.00,7900973035.00,1983331979.00,1464146225.00,3355785062.00,3177788012.00,1630612506.00,22994.52,2101651137.00,21140.29,1855856551.00,1735094888.00,8412237249.00,1437007555.00,680898896.00,1398098289.00,2152470809.00,1968911518.00,343208.20,286616.10,248024.30,404856.80,369476.80,307842.50,255861.20,390062.20,336402.00,529550.10,522111.30,325704.00,436921.20,534934.10,317679.40,277097.70,501651.00,348716.20,1828083625.00,136359727.00,1245758533.00,23153.92,1510869952.00,1415873684.00,2217782575.00,803787793.00,22206.74,20704.86,1606483669.00,5585666791.00,1108637516.00,1714266061.00,6028611636.00,23838.02,6822658709.00,1922456377.00,309051.40,2023493186.00,437261.00,287600.20,1827587605.00,290437.20,241732.80,8895593474.00,302725.30,247530.00,424566.50,302019.40,325370.80,346308.30,359910.90,285935.00,331433.40,322903.20
9-O-Methylcoumestrol_[M]+_282.0525_47.17014,24681.95,1837200764.00,6415070279.00,9119383038.00,1311223342.00,3724104586.00,1980563771.00,1862323405.00,4066734176.00,7141829633.00,1899600357.00,164273408.00,1171816936.00,4950225507.00,1298023155.00,1652330271.00,9798471702.00,9940696527.00,1862973.00,1993517.00,1869843.00,2227619.00,3027491.00,3106422.00,2308236.00,3210812.00,2579100.00,3195469.00,4306762.00,4637266.00,1590388.00,5306159.00,4959640.00,1262289.00,8823954.00,7840544.00,1189502867.00,9863425035.00,159296496.00,28676.97,16657476.00,1540113171.00,22564.44,1987834799.00,1901262206.00,24619.73,8750231312.00,1075877322.00,3408787583.00,1219928358.00,1706941203.00,177565899.00,1715883697.00,1170916307.00,765791.80,1416786933.00,594713.20,598434.60,103828464.00,1128791.00,1287763.00,1586735848.00,6686104.00,1877943.00,3261082.00,3897139.00,2690825.00,6458978.00,5935130.00,1743765.00,5699074.00,4414084.00
2-Hydroxypseudobaptigenin_[M+H]+_299.0555_64.34122,5007190092.00,3446104822.00,1096022573.00,1834487411.00,5864796313.00,1389227928.00,1786095302.00,1336723579.00,1529904946.00,7983983588.00,8334451501.00,9626309336.00,5925811773.00,22592.16,22357.42,1801222466.00,2103750314.00,1691154505.00,167658.30,128545.40,217538.60,218952.00,199454.00,163012.40,168763.50,211490.70,192383.10,159127.60,509866.90,698342.80,134355.90,406503.20,652831.50,24471.26,517803.80,683356.30,21558.89,1885046126.00,1091568776.00,1926494082.00,1884145774.00,1430866318.00,21299.02,7644103845.00,4271281236.00,1345872974.00,7495900558.00,37331.48,516281672.00,1138997512.00,1727527371.00,1122792605.00,5978532095.00,1067970842.00,1046804239.00,2025614997.00,1575283323.00,9905125116.00,683580914.00,28022.81,120770.80,1434828773.00,528528.20,95186.56,280755.60,515802.70,172021.20,450669.30,552936.40,141753.60,525296.80,593658.80
(-)-Pisatin_[M+H]+_315.0863_64.35699,1680757954.00,9625418281.00,3756918161.00,1607134897.00,9945407332.00,1283521271.00,2109727043.00,7501689037.00,1753399549.00,14825097.00,132709092.00,1552084765.00,1529308927.00,1872688629.00,1187890133.00,1503926134.00,130527318.00,1349713354.00,712938.20,425570.80,479294.20,674963.80,586364.80,512246.20,522123.80,752915.80,905759.40,658895.90,1570426.00,2610141.00,756321.80,1258684.00,2478579.00,626175.50,1683301.00,3172820.00,1165870402.00,1260092654.00,1381715311.00,4696285171.00,1155881432.00,1631661175.00,9554371233.00,1227502862.00,21942.89,2042933623.00,908350245.00,1970640602.00,1471994989.00,5521014507.00,4765217935.00,6188898155.00,8838472857.00,1990874131.00,209768.30,1410692583.00,331623.80,235974.60,9731600418.00,359043.20,381288.50,3894143522.00,1687331.00,457221.80,1151120.00,1276401.00,540268.10,1707372.00,2040277.00,499193.30,1846579.00,1802409.00
unknown_307.056_41.6667,5707067003.00,22102.18,2189534688.00,216709231.00,1688960108.00,1165102706.00,1529629674.00,6694354982.00,1194989125.00,6297840147.00,1952101647.00,2114660915.00,9761644639.00,2172519611.00,2016210682.00,2127137571.00,1365397807.00,21402.29,26723.27,250346.10,268548.20,9059856654.00,6798726579.00,129798.90,25948.45,137990.00,191946.80,110008.50,808799.10,1128389.00,47614.86,695202.10,706805.30,57048.31,561384.20,626281.90,1732309685.00,1206562349.00,4782698174.00,892865271.00,22838.17,1923673473.00,2137388085.00,1030351057.00,2777383292.00,1526950018.00,1602545651.00,24465.39,125944557.00,1015597157.00,1968732389.00,2677181158.00,6634772021.00,1455904929.00,21471.85,318319421.00,1031104099.00,59044.79,1248072785.00,212569.00,112828.30,19347.35,2932961.00,54762.62,1326379.00,1783310.00,237568.70,353849.60,376254.80,176617.30,588941.20,716066.20
unknown_313.0709_64.35047,1131942801.00,3780697326.00,1594462166.00,1188716687.00,5431669289.00,2083312605.00,2955000831.00,1012554064.00,198075361.00,5154201401.00,2088458737.00,175450948.00,3889494046.00,1893531662.00,1209336168.00,1113194714.00,1792191517.00,1752346836.00,1781259.00,665593.20,1052750.00,1986045.00,1062582.00,1553848.00,1826221.00,2031976.00,3201257.00,2052732.00,6613074.00,9883055.00,1062257.00,5477152.00,8913525.00,1241538.00,7622992.00,11200000.00,2690555989.00,1718322944.00,1444487574.00,1986399424.00,3397653668.00,140264401.00,1620307915.00,1444026059.00,6242817101.00,211806147.00,2061242389.00,6279567752.00,6528882986.00,1883143879.00,1785691079.00,1983523994.00,124471697.00,1139771036.00,233577.80,7080339154.00,338127.90,278347.40,1429103182.00,436054.40,696937.90,1390482528.00,7854096.00,873491.80,3066532.00,4900118.00,1447050.00,6522750.00,9829191.00,917341.70,7873030.00,8997345.00
oleic acid(18:1n9)_[M+H]+_283.2648_61.39968,1563996115.00,1452221263.00,1119670632.00,7274259989.00,9897561691.00,36762.67,24392.57,38980.28,2011281629.00,159095884.00,1495508997.00,139087.30,5840763168.00,1132037669.00,26097.30,1689435828.00,521233509.00,2548891567.00,197118.90,61444.58,78319.31,3883210205.00,38066.70,67998.16,459077.60,91177.88,77024.88,567778.10,72997.31,104914.70,103550.80,3169328111.00,82183.59,47764.00,61547.79,55705.57,1399276469.00,21122.38,851584734.00,5739124206.00,851633915.00,24264.74,23188.64,1148864745.00,54469.60,27373.94,2201470525.00,1340420195.00,1392240003.00,1079462114.00,7252325208.00,25528.37,2168043448.00,1388868412.00,124172.70,25752.88,49048.36,1767068781.00,7655225776.00,51150.28,172742.70,9097910615.00,99412.16,280850.10,80718.90,49175.78,65534.11,82503.54,132772.20,85596.33,87743.48,110683.50
methyl Jasmonic acid_[M+H]+_225.148_44.55688,1993156375.00,1637032005.00,1053933515.00,385705.40,376540.40,1630184503.00,1616901745.00,9455559574.00,274392.90,355483.20,4626067018.00,123004.70,213583583.00,268012.60,966440414.00,564717.50,310758.50,50947.57,177381.50,2007869837.00,148996.60,168677.20,1685083581.00,2051667786.00,276186.90,290038.60,203452.90,323338.50,193071.30,150058.80,214693.20,9796706085.00,208176.80,197627.90,5411241967.00,124731.70,7755331854.00,221371.50,535237.30,241884.30,367124.00,295702.50,189000.00,1822060143.00,3421907233.00,231384.70,183963.50,295052.90,1601645772.00,184798.80,111911.20,104240.90,1541731167.00,1641159817.00,164861.60,691203.80,167431.10,185515.50,627682.10,205367.10,233035.50,229088.50,185174.60,193346.90,1351525311.00,1126314849.00,1813593849.00,9202491005.00,1362892052.00,9863969174.00,8672919959.00,1859995831.00
Quercetin-3-sophorotrioside_[2M+H]+_1577.417_31.74173,24310.79,1449157349.00,1333811787.00,2363169282.00,1538758723.00,1650722221.00,23418.34,8045224024.00,1400367061.00,1397313892.00,1462814814.00,1578527234.00,9633438827.00,6239091624.00,1214071407.00,1660931639.00,2086147828.00,2189273459.00,712294.50,412839.90,343944.00,603457.20,302950.50,236430.10,386170.30,289280.30,317347.80,449287.20,430470.50,389822.20,635406.50,250441.50,271278.50,643341.10,90696.84,85834.76,7486208632.00,5214767828.00,2320295812.00,216295852.00,1836810057.00,4040246178.00,1299588947.00,2174212811.00,1195041156.00,25966.34,2200139663.00,20057.89,6280601721.00,7076820229.00,1496806909.00,217076061.00,1606066519.00,5145546976.00,149730.40,2502806838.00,331967.80,226062.80,1588211288.00,197494.40,428966.50,25691.44,120286.60,404925.10,285035.60,241101.90,371721.30,1428672642.00,99495.81,381327.20,93984.29,4138904317.00
unknown_659.0618_4.488828,2146156515.00,1008820495.00,1525728685.00,1366855651.00,8036764884.00,1418505145.00,2468862279.00,1249089022.00,3084447838.00,1321327987.00,161195964.00,24460595.00,305177.10,1670355194.00,1593836488.00,1859428852.00,1707595142.00,1898506789.00,241929.40,445120.60,371146.00,302596.20,309196.50,257752.00,320568.50,324177.40,307826.50,290176.60,321695.10,340436.30,274920.10,296942.00,274433.20,263223.20,85638.25,123880.20,1285549989.00,19031.88,8445804726.00,1385198024.00,3833817018.00,1282619178.00,1208681738.00,1037434353.00,1142405331.00,2216850019.00,2005243777.00,5867393039.00,9223502908.00,1752690236.00,6628778162.00,2108649085.00,1250677276.00,4893243834.00,231070.30,140825443.00,215990.00,189952.90,3788167865.00,266165.40,275681.50,1035978733.00,228200.40,312636.20,308241.60,208216.40,175171.90,118110.80,1075764373.00,246029.40,197496.00,233570.70
Kaempferol_[M]+_286.0478_2.39528,26699.53,1223785251.00,13730.14,1742360518.00,36937.93,22256.45,2628586511.00,1661245511.00,455910.80,22645.11,909942063.00,872364954.00,567762.60,5300680002.00,3730518471.00,3501307831.00,184895853.00,1133079146.00,1733916251.00,84540.73,46265.16,170884.90,176394.80,247039.30,190177.40,73245.95,119785.40,200633.50,293371.70,242245.10,185004.50,274789.60,210280.20,196000.30,519945.50,476697.60,26185.67,1314063899.00,5880803472.00,3699166746.00,7382309288.00,3659352756.00,1578234902.00,1319557972.00,8618169082.00,1143289751.00,737192.30,3472152673.00,8103378504.00,2175483558.00,2080517541.00,142764004.00,25847.83,3109502527.00,102572272.00,1358210588.00,138665.60,54934.35,1327533664.00,62218.63,163309.40,4534292256.00,184283.50,128232.40,146928.40,261798.50,142702.60,294939.90,252337.80,123010.50,715964.20,800711.20
unknown_346.1976_70.84644,1224247547.00,6629380923.00,9492825618.00,9473619973.00,1647362841.00,1925004301.00,1433434.00,9493349323.00,4872724773.00,1477552292.00,1492079901.00,1321990381.00,2151228648.00,2141802542.00,1791845026.00,1023105246.00,1282970518.00,1043001195.00,144855.60,217937.20,254737.10,113253.80,165223.30,153558.00,119644.10,148287.50,8932442639.00,128666.90,150720.70,188994.60,227225.60,783881831.00,1963102048.00,129093.70,221611.20,179801.30,1932828073.00,1026830563.00,5398116525.00,1848398079.00,216222109.00,202704703.00,1125077362.00,4187471585.00,6948760147.00,25565.10,1936778057.00,1865651251.00,23047.98,1312055622.00,6308106258.00,2026710964.00,23082.52,1721565915.00,179615.70,25158.30,145304.60,171749.60,1360381688.00,168687.50,296239.40,194538397.00,114813.80,186876.50,158547.90,169735.80,164722.70,215256.50,166780.60,160436.60,199616.80,172966.40
unknown_683.2761_31.53995,3101349009.00,1666049833.00,23350.35,31266.58,8830517996.00,2090480099.00,7356333545.00,9605680802.00,90016.69,1063907889.00,2088959991.00,856139.80,1705697318.00,24081.84,507511.50,1382833591.00,1773188269.00,728561602.00,58495.99,43198.55,24467.40,81647.68,177540.00,174572.00,136106.60,255344.00,200846.10,2204223593.00,38999.54,48173.19,187330.90,1070509434.00,50512.95,134952.30,154379.30,225569.20,4442314605.00,1926214551.00,1393624996.00,1466936933.00,1803862792.00,1730336765.00,1750668558.00,103726.60,7954357261.00,2463825366.00,147333.90,4360214829.00,24093.95,1740663819.00,2077265.00,1671393106.00,1193236568.00,1119189.00,1803441277.00,25388.29,45239.48,46185.64,22364.05,36664.02,86541.45,133773073.00,294289.20,165724.90,129258.40,110781.50,142901.80,242013.80,236558.10,155266.20,173844.90,171377.60
Coumestrol_[M]+_268.0383_4.413852,69076.72,24034.98,49542.47,129537.50,60828.79,133350.20,171724.50,2793692069.00,4074916614.00,106152.60,46591.66,124726.80,77454.21,100597.80,3188262795.00,116272.70,120929.20,138782.50,2045249334.00,1117829735.00,5714502204.00,1286818609.00,1566157162.00,1696256306.00,100005861.00,145522776.00,1560803242.00,1361933852.00,1900991861.00,1306773003.00,1625655045.00,1314157096.00,1803422923.00,5014452254.00,1699919293.00,200449148.00,76473.04,146605.80,11699102.00,21914.74,180083.20,174811.40,185435.70,116823.90,237870.20,138782.10,184212.10,89476.90,142862.90,127893.40,85995.71,129744.40,1959196886.00,137417.10,1845194829.00,1507882333.00,8149612757.00,204375664.00,41636.94,215475416.00,1541931993.00,223864.90,1341089599.00,9545646884.00,2072145181.00,1139077945.00,4957259591.00,191631579.00,1314885011.00,1959277907.00,2003961935.00,1120373421.00
unknown_323.0892_9.734726,25003.75,41758.33,1598400082.00,21812.07,23012.21,220232642.00,1462728525.00,5466453816.00,935606961.00,7803121859.00,26344.12,22922.38,1644065243.00,38792.75,1070457923.00,25156.52,24755.45,24690.77,27175.15,1376541929.00,53758.93,1356249552.00,39380.42,53247.46,64051.67,51395.93,4556712391.00,5676955919.00,1528911766.00,24190.89,31265.57,22150.69,1031634374.00,21331.00,49428.38,26062.16,22462.79,1478442996.00,51837.41,24150.28,4970857248.00,70856.34,207359897.00,24831.23,24442.38,50358.52,26395.92,50235.14,1748154455.00,162802728.00,188525.90,4081848904.00,58328.77,23726.97,102889.00,157964.90,81437.66,51975.94,107070.00,75074.37,24248.78,21319.58,41365.97,6263393999.00,24801.38,35189.23,83177.02,184880.80,101876.70,26583.51,90573.34,72271.05
"2,6-Xylohydroquinone_[2M+H]+_277.1409_108.8854",3340051774.00,112647.50,27754.51,37982.11,82685.95,82795.96,1675980132.00,67716.26,25006.93,34757.02,46395.91,66914.85,103092.70,51428.60,139067.40,21316.46,42571.18,1409914442.00,38421.75,64448.11,27550.13,25597.70,25397.20,39236.36,118138.40,1918143827.00,41611.91,296689778.00,26271.47,20688.83,37758.20,57350.46,203502308.00,1204336101.00,121983.80,27067.21,1504428142.00,7917094407.00,9245082968.00,1222540661.00,2236723423.00,7573802139.00,1855930188.00,1367686755.00,23130.18,109541.40,24179.37,42758.54,27719.99,34512.79,3778235072.00,7089261975.00,71055.55,2169588725.00,26624.82,26901.99,92228.54,48727.88,41276.82,47778.14,44616.02,139009.70,2018343297.00,7461344628.00,2616357947.00,1254991356.00,4563045028.00,22477.98,43835.80,38642.07,21868.74,2825946702.00
unknown_201.0718_28.90693,5761054489.00,4227360172.00,23643.41,20742.62,22945.52,1921644548.00,1304721197.00,6492114709.00,2392531937.00,1009753138.00,1814282552.00,1027739284.00,1521403528.00,23518.73,5746000163.00,23128.39,7361411636.00,5152324285.00,261050.50,322472.10,196700.90,198644.60,101474.30,164397.90,193469.40,157574.90,1490726276.00,153186.40,182463.90,166725.40,218861.10,141552.30,99485.21,166838.00,49621.08,24816.76,19846.57,7767359484.00,4872510934.00,24347.75,1425981899.00,1298975576.00,37429.69,1162062109.00,1823885671.00,1219876775.00,1791934717.00,1856427516.00,303116055.00,1456407843.00,1667109827.00,1621849981.00,8794523577.00,8653484582.00,177782.60,1068141525.00,94072.56,172599.50,1727946811.00,253355.50,211879.20,26144.13,42101.74,237210.10,129038.90,167664.90,174619.80,35978.46,23904.38,147044.90,34974.27,1934373579.00
